run,model,best_epoch,best_validation_loss,final_train_loss,final_validation_loss,final_test_loss,total_trainable_parameters,learning_rate,weight_decay,epochs,batch_size,seed,num_layers,hidden_features,channels,num_blocks,layers_per_block,head_dim,expansion,conditional
model_comparison / 02_diff_params_same_results / nll__0.00 / transformer__lr1e-3_ep600_bs500_wd1e-4_cond1_seed7_ch64_blocks6_lpb1,transformer,580,0.019771818071603775,0.0014239720767363906,0.019771818071603775,0.02138512022793293,396312,0.001,0.0001,600,500,7,,,64,6,1,64,2,True
model_comparison / 02_diff_params_same_results / nll__0.20 / real_nvp__lr1e-3_ep600_bs500_wd0e0_cond1_seed7_layers9_h256,real_nvp,580,0.22320878505706787,0.22025789320468903,0.22320878505706787,0.21989095211029053,612900,0.001,0.0,600,500,7,9,256,,,,,,True
model_comparison / EXP_MS_001 / final_models / real_nvp / run,real_nvp,580,0.22320878505706787,0.22025789320468903,0.22320878505706787,0.21989095211029053,612900,0.001,0.0,600,500,7,9,256,,,,,,True
model_comparison / EXP_MS_001 / final_models / transformer / run,transformer,580,0.019771818071603775,0.0014239720767363906,0.019771818071603775,0.02138512022793293,396312,0.001,0.0001,600,500,7,,,64,6,1,64,2,True
model_comparison / EXP_MS_002 / raw / real_nvp / params__lr1e-3_ep600_bs500_wd0e0_cond1_seed17_layers9_h256,real_nvp,340,0.2243158519268036,0.22072473168373108,0.2243158519268036,0.22084619104862213,612900,0.001,0.0,600,500,17,9,256,,,,,,True
model_comparison / EXP_MS_002 / raw / transformer / params__lr1e-3_ep600_bs500_wd1e-4_cond1_seed17_ch64_blocks6_lpb1,transformer,600,0.09800080209970474,0.07338066399097443,0.09800080209970474,0.09878864139318466,396312,0.001,0.0001,600,500,17,,,64,6,1,64,2,True
model_comparison / EXP_MS_003 / final_models / real_nvp,real_nvp,140,0.22448663413524628,0.22204573452472687,0.22448663413524628,0.2216019332408905,612900,0.001,0.0,600,500,27,9,256,,,,,,True
model_comparison / EXP_MS_003 / final_models / transformer,transformer,600,0.02464558742940426,-0.006355811841785908,0.02464558742940426,0.02459120564162731,396312,0.001,0.0001,600,500,27,,,64,6,1,64,2,True
model_comparison / EXP_MS_003 / raw / real_nvp / params__lr1e-3_ep600_bs500_wd0e0_cond1_seed27_layers9_h256,real_nvp,140,0.22448663413524628,0.22204573452472687,0.22448663413524628,0.2216019332408905,612900,0.001,0.0,600,500,27,9,256,,,,,,True
model_comparison / EXP_MS_003 / raw / transformer / params__lr1e-3_ep600_bs500_wd1e-4_cond1_seed27_ch64_blocks6_lpb1,transformer,600,0.02464558742940426,-0.006355811841785908,0.02464558742940426,0.02459120564162731,396312,0.001,0.0001,600,500,27,,,64,6,1,64,2,True
