"experiment_id","experiment_group","model","learning_rate","weight_decay","num_layers","hidden_features","num_blocks","layers_per_block","head_dim","expansion","status","best_epoch","best_validation_loss","final_test_loss","nll","training_time_seconds","error"
"EXP_001","Learning-rate sweep","real_nvp","0.001","0.0001","5","64","","","","","completed","580","0.22851364314556122","0.2253088504076004","0.2253088504076004","75.021889",""
"EXP_002","Learning-rate sweep","real_nvp","0.0005","0.0001","5","64","","","","","completed","600","0.23315809667110443","0.23032109439373016","0.23032109439373016","75.574243",""
"EXP_003","Learning-rate sweep","real_nvp","0.0001","0.0001","5","64","","","","","completed","600","0.36858367919921875","0.3693307340145111","0.3693307340145111","72.951679",""
"EXP_004","Learning-rate sweep","real_nvp","0.00005","0.0001","5","64","","","","","completed","600","0.909699559211731","0.9120297431945801","0.9120297431945801","76.633320",""
"EXP_005","Learning-rate sweep","transformer","0.001","0.0001","","","","","","","completed","540","0.1416914016008377","0.14332658052444458","0.14332658052444458","733.499609",""
"EXP_006","Learning-rate sweep","transformer","0.0005","0.0001","","","","","","","completed","580","0.18517306447029114","0.18406011164188385","0.18406011164188385","726.316707",""
"EXP_007","Learning-rate sweep","transformer","0.0001","0.0001","","","","","","","completed","600","0.35920828580856323","0.36109405755996704","0.36109405755996704","732.570055",""
"EXP_008","Learning-rate sweep","transformer","0.00005","0.0001","","","","","","","completed","600","0.5608579516410828","0.5622392892837524","0.5622392892837524","715.865940",""
"EXP_009","Weight-decay sweep","real_nvp","0.001","0","5","64","","","","","completed","600","0.226769357919693","0.22393448650836945","0.22393448650836945","74.580955",""
"EXP_010","Weight-decay sweep","real_nvp","0.001","1e-05","5","64","","","","","completed","600","0.22864492237567902","0.22560429573059082","0.22560429573059082","69.155846",""
"EXP_011","Weight-decay sweep","real_nvp","0.001","0.0001","5","64","","","","","completed","580","0.22872644662857056","0.22633621096611023","0.22633621096611023","67.772093",""
"EXP_012","Weight-decay sweep","real_nvp","0.001","0.001","5","64","","","","","completed","580","0.23413003981113434","0.23180809617042542","0.23180809617042542","68.015190",""
"EXP_013","Weight-decay sweep","transformer","0.001","0","","","4","1","64","4","completed","560","0.17922194302082062","0.176890566945076","0.176890566945076","715.434001",""
"EXP_014","Weight-decay sweep","transformer","0.001","1e-05","","","4","1","64","4","completed","600","0.15277205407619476","0.1538943201303482","0.1538943201303482","717.385206",""
"EXP_015","Weight-decay sweep","transformer","0.001","0.0001","","","4","1","64","4","completed","540","0.1416914016008377","0.14332658052444458","0.14332658052444458","715.677112",""
"EXP_016","Weight-decay sweep","transformer","0.001","0.001","","","4","1","64","4","completed","580","0.1746838241815567","0.17571872472763062","0.17571872472763062","722.799868",""
"EXP_017","RealNVP architecture sweep","real_nvp","0.001","0","3","64","","","","","completed","580","0.2719683051109314","0.2681090235710144","0.2681090235710144","58.869953",""
"EXP_019","RealNVP architecture sweep","real_nvp","0.001","0","7","64","","","","","completed","580","0.22705672681331635","0.22384968400001526","0.22384968400001526","81.890031",""
"EXP_020","RealNVP architecture sweep","real_nvp","0.001","0","9","64","","","","","completed","600","0.22332827746868134","0.22029604017734528","0.22029604017734528","97.747689",""
"EXP_021","RealNVP architecture sweep","real_nvp","0.001","0","9","32","","","","","completed","580","0.22336970269680023","0.22045083343982697","0.22045083343982697","76.912521",""
"EXP_022","RealNVP architecture sweep","real_nvp","0.001","0","9","64","","","","","completed","600","0.22332827746868134","0.22029604017734528","0.22029604017734528","97.582744",""
