sweep,sweep_parameter,sweep_value,experiment_id,experiment_type,model,learning_rate,batch_size,epochs,seed,conditional,weight_decay,early_stopping_patience,evaluation_frequency,points_per_batch,dataset_num_batches,noise,plot_batches,device,dataset_path,num_layers,hidden_features,in_channels,channels,num_blocks,layers_per_block,head_dim,expansion,nvp,notes,run,run_id,status,started_at,finished_at,training_time_seconds,epochs_completed,best_epoch,best_training_loss,best_validation_loss,final_train_loss,final_validation_loss,final_test_loss,nll,trainable_parameters,dataset_sha256,git_commit,config_path,metrics_path,checkpoint_path,plots_path,parameters_json,error
learning_rate,learning_rate,0.001,EXP_005,parameter_sweep,transformer,0.001,500,600,7,YES,0.0001,6,20,,,,,cuda,,,,,,,,,,,learning rate = 1e-3,YES,run_001,completed,2026-09-03T09:52:27+00:00,2026-09-03T10:04:40+00:00,733.499609,600,540,0.11517555266618729,0.1416914016008377,0.12691181898117065,0.1416914016008377,0.14332658052444458,0.14332658052444458,330256,338a4a347e1df1c439b3e208b554c7490fbd25606d024e8d05de45de7cddc514,327b86243b5841a210775275c58f074282504efe,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\results\parameter_sweep\EXP_005\run_001\config.json,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\results\parameter_sweep\EXP_005\run_001\raw\transformer\params__lr1e-3_ep600_bs500_wd1e-4_cond1_seed7_ch64_blocks4_lpb1\metrics.json,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\results\parameter_sweep\EXP_005\run_001\raw\transformer\params__lr1e-3_ep600_bs500_wd1e-4_cond1_seed7_ch64_blocks4_lpb1\best_model.pt,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\results\parameter_sweep\EXP_005\run_001\raw\transformer\params__lr1e-3_ep600_bs500_wd1e-4_cond1_seed7_ch64_blocks4_lpb1,"{""batch_size"": 500, ""channels"": 64, ""conditional"": true, ""dataset_num_batches"": 512, ""dataset_path"": ""C:\\Users\\amanp\\OneDrive\\Desktop\\Uli_Projects_Attempts\\Uli_Two_Moon_2\\two_moons_splits.pt"", ""device"": ""cuda"", ""early_stopping_patience"": 6, ""epochs"": 600, ""evaluation_frequency"": 20, ""expansion"": 4, ""head_dim"": 64, ""in_channels"": 2, ""layers_per_block"": 1, ""learning_rate"": 0.001, ""noise"": 0.05, ""num_blocks"": 4, ""nvp"": true, ""output_dir"": ""C:\\Users\\amanp\\OneDrive\\Desktop\\Uli_Projects_Attempts\\Uli_Two_Moon_2\\results\\parameter_sweep\\EXP_005\\run_001"", ""plot_batches"": 32, ""points_per_batch"": 500, ""seed"": 7, ""weight_decay"": 0.0001}",
learning_rate,learning_rate,0.0005,EXP_006,parameter_sweep,transformer,0.0005,500,600,7,YES,0.0001,6,20,,,,,cuda,,,,,,,,,,,learning rate = 5e-4,YES,run_001,completed,2026-09-03T10:04:40+00:00,2026-09-03T10:16:47+00:00,726.316707,600,580,0.1564382165670395,0.18517306447029114,0.17020319402217865,0.18517306447029114,0.18406011164188385,0.18406011164188385,330256,338a4a347e1df1c439b3e208b554c7490fbd25606d024e8d05de45de7cddc514,327b86243b5841a210775275c58f074282504efe,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\results\parameter_sweep\EXP_006\run_001\config.json,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\results\parameter_sweep\EXP_006\run_001\raw\transformer\params__lr5e-4_ep600_bs500_wd1e-4_cond1_seed7_ch64_blocks4_lpb1\metrics.json,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\results\parameter_sweep\EXP_006\run_001\raw\transformer\params__lr5e-4_ep600_bs500_wd1e-4_cond1_seed7_ch64_blocks4_lpb1\best_model.pt,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\results\parameter_sweep\EXP_006\run_001\raw\transformer\params__lr5e-4_ep600_bs500_wd1e-4_cond1_seed7_ch64_blocks4_lpb1,"{""batch_size"": 500, ""channels"": 64, ""conditional"": true, ""dataset_num_batches"": 512, ""dataset_path"": ""C:\\Users\\amanp\\OneDrive\\Desktop\\Uli_Projects_Attempts\\Uli_Two_Moon_2\\two_moons_splits.pt"", ""device"": ""cuda"", ""early_stopping_patience"": 6, ""epochs"": 600, ""evaluation_frequency"": 20, ""expansion"": 4, ""head_dim"": 64, ""in_channels"": 2, ""layers_per_block"": 1, ""learning_rate"": 0.0005, ""noise"": 0.05, ""num_blocks"": 4, ""nvp"": true, ""output_dir"": ""C:\\Users\\amanp\\OneDrive\\Desktop\\Uli_Projects_Attempts\\Uli_Two_Moon_2\\results\\parameter_sweep\\EXP_006\\run_001"", ""plot_batches"": 32, ""points_per_batch"": 500, ""seed"": 7, ""weight_decay"": 0.0001}",
learning_rate,learning_rate,0.0001,EXP_007,parameter_sweep,transformer,0.0001,500,600,7,YES,0.0001,6,20,,,,,cuda,,,,,,,,,,,learning rate = 1e-4,YES,run_001,completed,2026-09-03T10:16:47+00:00,2026-09-03T10:29:00+00:00,732.570055,600,600,0.3489510715007782,0.35920828580856323,0.34935739636421204,0.35920828580856323,0.36109405755996704,0.36109405755996704,330256,338a4a347e1df1c439b3e208b554c7490fbd25606d024e8d05de45de7cddc514,327b86243b5841a210775275c58f074282504efe,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\results\parameter_sweep\EXP_007\run_001\config.json,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\results\parameter_sweep\EXP_007\run_001\raw\transformer\params__lr1e-4_ep600_bs500_wd1e-4_cond1_seed7_ch64_blocks4_lpb1\metrics.json,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\results\parameter_sweep\EXP_007\run_001\raw\transformer\params__lr1e-4_ep600_bs500_wd1e-4_cond1_seed7_ch64_blocks4_lpb1\best_model.pt,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\results\parameter_sweep\EXP_007\run_001\raw\transformer\params__lr1e-4_ep600_bs500_wd1e-4_cond1_seed7_ch64_blocks4_lpb1,"{""batch_size"": 500, ""channels"": 64, ""conditional"": true, ""dataset_num_batches"": 512, ""dataset_path"": ""C:\\Users\\amanp\\OneDrive\\Desktop\\Uli_Projects_Attempts\\Uli_Two_Moon_2\\two_moons_splits.pt"", ""device"": ""cuda"", ""early_stopping_patience"": 6, ""epochs"": 600, ""evaluation_frequency"": 20, ""expansion"": 4, ""head_dim"": 64, ""in_channels"": 2, ""layers_per_block"": 1, ""learning_rate"": 0.0001, ""noise"": 0.05, ""num_blocks"": 4, ""nvp"": true, ""output_dir"": ""C:\\Users\\amanp\\OneDrive\\Desktop\\Uli_Projects_Attempts\\Uli_Two_Moon_2\\results\\parameter_sweep\\EXP_007\\run_001"", ""plot_batches"": 32, ""points_per_batch"": 500, ""seed"": 7, ""weight_decay"": 0.0001}",
learning_rate,learning_rate,0.00005,EXP_008,parameter_sweep,transformer,0.00005,500,600,7,YES,0.0001,6,20,,,,,cuda,,,,,,,,,,,learning rate = 5e-5,YES,run_001,completed,2026-09-03T10:29:00+00:00,2026-09-03T10:40:56+00:00,715.865940,600,600,0.5559590458869934,0.5608579516410828,0.5552662014961243,0.5608579516410828,0.5622392892837524,0.5622392892837524,330256,338a4a347e1df1c439b3e208b554c7490fbd25606d024e8d05de45de7cddc514,327b86243b5841a210775275c58f074282504efe,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\results\parameter_sweep\EXP_008\run_001\config.json,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\results\parameter_sweep\EXP_008\run_001\raw\transformer\params__lr5e-5_ep600_bs500_wd1e-4_cond1_seed7_ch64_blocks4_lpb1\metrics.json,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\results\parameter_sweep\EXP_008\run_001\raw\transformer\params__lr5e-5_ep600_bs500_wd1e-4_cond1_seed7_ch64_blocks4_lpb1\best_model.pt,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\results\parameter_sweep\EXP_008\run_001\raw\transformer\params__lr5e-5_ep600_bs500_wd1e-4_cond1_seed7_ch64_blocks4_lpb1,"{""batch_size"": 500, ""channels"": 64, ""conditional"": true, ""dataset_num_batches"": 512, ""dataset_path"": ""C:\\Users\\amanp\\OneDrive\\Desktop\\Uli_Projects_Attempts\\Uli_Two_Moon_2\\two_moons_splits.pt"", ""device"": ""cuda"", ""early_stopping_patience"": 6, ""epochs"": 600, ""evaluation_frequency"": 20, ""expansion"": 4, ""head_dim"": 64, ""in_channels"": 2, ""layers_per_block"": 1, ""learning_rate"": 5e-05, ""noise"": 0.05, ""num_blocks"": 4, ""nvp"": true, ""output_dir"": ""C:\\Users\\amanp\\OneDrive\\Desktop\\Uli_Projects_Attempts\\Uli_Two_Moon_2\\results\\parameter_sweep\\EXP_008\\run_001"", ""plot_batches"": 32, ""points_per_batch"": 500, ""seed"": 7, ""weight_decay"": 0.0001}",
weight_decay,weight_decay,0,EXP_013,parameter_sweep,transformer,0.001,500,600,7,YES,0,6,20,500,512,0.05,32,cuda,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\two_moons_splits.pt,,,2,64,4,1,64,4,YES,weight decay = 0; LR fixed at 1e-3,YES,run_001,completed,2026-09-03T11:58:43+00:00,2026-09-03T12:10:38+00:00,715.434001,600,560,0.16164015233516693,0.17922194302082062,0.15759077668190002,0.17922194302082062,0.176890566945076,0.176890566945076,330256,338a4a347e1df1c439b3e208b554c7490fbd25606d024e8d05de45de7cddc514,8c017498c5781234318f6fd7a69e825ee4219f0f,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\results\parameter_sweep\EXP_013\run_001\config.json,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\results\parameter_sweep\EXP_013\run_001\raw\transformer\params__lr1e-3_ep600_bs500_wd0e0_cond1_seed7_ch64_blocks4_lpb1\metrics.json,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\results\parameter_sweep\EXP_013\run_001\raw\transformer\params__lr1e-3_ep600_bs500_wd0e0_cond1_seed7_ch64_blocks4_lpb1\best_model.pt,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\results\parameter_sweep\EXP_013\run_001\raw\transformer\params__lr1e-3_ep600_bs500_wd0e0_cond1_seed7_ch64_blocks4_lpb1,"{""batch_size"": 500, ""channels"": 64, ""conditional"": true, ""dataset_num_batches"": 512, ""dataset_path"": ""C:\\Users\\amanp\\OneDrive\\Desktop\\Uli_Projects_Attempts\\Uli_Two_Moon_2\\two_moons_splits.pt"", ""device"": ""cuda"", ""early_stopping_patience"": 6, ""epochs"": 600, ""evaluation_frequency"": 20, ""expansion"": 4, ""head_dim"": 64, ""in_channels"": 2, ""layers_per_block"": 1, ""learning_rate"": 0.001, ""noise"": 0.05, ""num_blocks"": 4, ""nvp"": true, ""output_dir"": ""C:\\Users\\amanp\\OneDrive\\Desktop\\Uli_Projects_Attempts\\Uli_Two_Moon_2\\results\\parameter_sweep\\EXP_013\\run_001"", ""plot_batches"": 32, ""points_per_batch"": 500, ""seed"": 7, ""weight_decay"": 0.0}",
weight_decay,weight_decay,1e-05,EXP_014,parameter_sweep,transformer,0.001,500,600,7,YES,1e-05,6,20,500,512,0.05,32,cuda,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\two_moons_splits.pt,,,2,64,4,1,64,4,YES,weight decay = 1e-05; LR fixed at 1e-3,YES,run_001,completed,2026-09-03T12:10:38+00:00,2026-09-03T12:22:36+00:00,717.385206,600,600,0.15675079822540283,0.15277205407619476,0.13200029730796814,0.15277205407619476,0.1538943201303482,0.1538943201303482,330256,338a4a347e1df1c439b3e208b554c7490fbd25606d024e8d05de45de7cddc514,8c017498c5781234318f6fd7a69e825ee4219f0f,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\results\parameter_sweep\EXP_014\run_001\config.json,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\results\parameter_sweep\EXP_014\run_001\raw\transformer\params__lr1e-3_ep600_bs500_wd1e-5_cond1_seed7_ch64_blocks4_lpb1\metrics.json,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\results\parameter_sweep\EXP_014\run_001\raw\transformer\params__lr1e-3_ep600_bs500_wd1e-5_cond1_seed7_ch64_blocks4_lpb1\best_model.pt,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\results\parameter_sweep\EXP_014\run_001\raw\transformer\params__lr1e-3_ep600_bs500_wd1e-5_cond1_seed7_ch64_blocks4_lpb1,"{""batch_size"": 500, ""channels"": 64, ""conditional"": true, ""dataset_num_batches"": 512, ""dataset_path"": ""C:\\Users\\amanp\\OneDrive\\Desktop\\Uli_Projects_Attempts\\Uli_Two_Moon_2\\two_moons_splits.pt"", ""device"": ""cuda"", ""early_stopping_patience"": 6, ""epochs"": 600, ""evaluation_frequency"": 20, ""expansion"": 4, ""head_dim"": 64, ""in_channels"": 2, ""layers_per_block"": 1, ""learning_rate"": 0.001, ""noise"": 0.05, ""num_blocks"": 4, ""nvp"": true, ""output_dir"": ""C:\\Users\\amanp\\OneDrive\\Desktop\\Uli_Projects_Attempts\\Uli_Two_Moon_2\\results\\parameter_sweep\\EXP_014\\run_001"", ""plot_batches"": 32, ""points_per_batch"": 500, ""seed"": 7, ""weight_decay"": 1e-05}",
weight_decay,weight_decay,0.0001,EXP_015,parameter_sweep,transformer,0.001,500,600,7,YES,0.0001,6,20,500,512,0.05,32,cuda,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\two_moons_splits.pt,,,2,64,4,1,64,4,YES,weight decay = 0.0001; LR fixed at 1e-3,YES,run_001,completed,2026-09-03T12:22:36+00:00,2026-09-03T12:34:32+00:00,715.677112,600,540,0.11517555266618729,0.1416914016008377,0.12691181898117065,0.1416914016008377,0.14332658052444458,0.14332658052444458,330256,338a4a347e1df1c439b3e208b554c7490fbd25606d024e8d05de45de7cddc514,8c017498c5781234318f6fd7a69e825ee4219f0f,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\results\parameter_sweep\EXP_015\run_001\config.json,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\results\parameter_sweep\EXP_015\run_001\raw\transformer\params__lr1e-3_ep600_bs500_wd1e-4_cond1_seed7_ch64_blocks4_lpb1\metrics.json,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\results\parameter_sweep\EXP_015\run_001\raw\transformer\params__lr1e-3_ep600_bs500_wd1e-4_cond1_seed7_ch64_blocks4_lpb1\best_model.pt,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\results\parameter_sweep\EXP_015\run_001\raw\transformer\params__lr1e-3_ep600_bs500_wd1e-4_cond1_seed7_ch64_blocks4_lpb1,"{""batch_size"": 500, ""channels"": 64, ""conditional"": true, ""dataset_num_batches"": 512, ""dataset_path"": ""C:\\Users\\amanp\\OneDrive\\Desktop\\Uli_Projects_Attempts\\Uli_Two_Moon_2\\two_moons_splits.pt"", ""device"": ""cuda"", ""early_stopping_patience"": 6, ""epochs"": 600, ""evaluation_frequency"": 20, ""expansion"": 4, ""head_dim"": 64, ""in_channels"": 2, ""layers_per_block"": 1, ""learning_rate"": 0.001, ""noise"": 0.05, ""num_blocks"": 4, ""nvp"": true, ""output_dir"": ""C:\\Users\\amanp\\OneDrive\\Desktop\\Uli_Projects_Attempts\\Uli_Two_Moon_2\\results\\parameter_sweep\\EXP_015\\run_001"", ""plot_batches"": 32, ""points_per_batch"": 500, ""seed"": 7, ""weight_decay"": 0.0001}",
weight_decay,weight_decay,0.001,EXP_016,parameter_sweep,transformer,0.001,500,600,7,YES,0.001,6,20,500,512,0.05,32,cuda,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\two_moons_splits.pt,,,2,64,4,1,64,4,YES,weight decay = 0.001; LR fixed at 1e-3,YES,run_001,completed,2026-09-03T12:34:32+00:00,2026-09-03T12:46:35+00:00,722.799868,600,580,0.16439224779605865,0.1746838241815567,0.16387654840946198,0.1746838241815567,0.17571872472763062,0.17571872472763062,330256,338a4a347e1df1c439b3e208b554c7490fbd25606d024e8d05de45de7cddc514,8c017498c5781234318f6fd7a69e825ee4219f0f,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\results\parameter_sweep\EXP_016\run_001\config.json,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\results\parameter_sweep\EXP_016\run_001\raw\transformer\params__lr1e-3_ep600_bs500_wd1e-3_cond1_seed7_ch64_blocks4_lpb1\metrics.json,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\results\parameter_sweep\EXP_016\run_001\raw\transformer\params__lr1e-3_ep600_bs500_wd1e-3_cond1_seed7_ch64_blocks4_lpb1\best_model.pt,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\results\parameter_sweep\EXP_016\run_001\raw\transformer\params__lr1e-3_ep600_bs500_wd1e-3_cond1_seed7_ch64_blocks4_lpb1,"{""batch_size"": 500, ""channels"": 64, ""conditional"": true, ""dataset_num_batches"": 512, ""dataset_path"": ""C:\\Users\\amanp\\OneDrive\\Desktop\\Uli_Projects_Attempts\\Uli_Two_Moon_2\\two_moons_splits.pt"", ""device"": ""cuda"", ""early_stopping_patience"": 6, ""epochs"": 600, ""evaluation_frequency"": 20, ""expansion"": 4, ""head_dim"": 64, ""in_channels"": 2, ""layers_per_block"": 1, ""learning_rate"": 0.001, ""noise"": 0.05, ""num_blocks"": 4, ""nvp"": true, ""output_dir"": ""C:\\Users\\amanp\\OneDrive\\Desktop\\Uli_Projects_Attempts\\Uli_Two_Moon_2\\results\\parameter_sweep\\EXP_016\\run_001"", ""plot_batches"": 32, ""points_per_batch"": 500, ""seed"": 7, ""weight_decay"": 0.001}",
block_count,num_blocks,2,EXP_025,parameter_sweep,transformer,0.001,500,600,7,YES,0.0001,6,20,500,512,0.05,32,cuda,data/two_moons_dataset.pt,,,2,64,2,1,64,4,YES,Transformer num_blocks sweep; 4-block configuration already tested as reference,YES,run_002,completed,2026-09-04T10:38:27+00:00,2026-09-04T10:44:45+00:00,378.089737,600,540,0.40244030952453613,0.4262217581272125,0.4019065201282501,0.4262217581272125,0.42858681082725525,0.42858681082725525,165128,d973d28bf14a571c0b775d530c00d79e147c82cbedfd3266e50073ae370c104a,b6b613ded8489ff37904d08ad0e5a49ea9ef2fc8,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\results\parameter_sweep\EXP_025\run_002\config.json,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\results\parameter_sweep\EXP_025\run_002\raw\transformer\params__lr1e-3_ep600_bs500_wd1e-4_cond1_seed7_ch64_blocks2_lpb1\metrics.json,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\results\parameter_sweep\EXP_025\run_002\raw\transformer\params__lr1e-3_ep600_bs500_wd1e-4_cond1_seed7_ch64_blocks2_lpb1\best_model.pt,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\results\parameter_sweep\EXP_025\run_002\raw\transformer\params__lr1e-3_ep600_bs500_wd1e-4_cond1_seed7_ch64_blocks2_lpb1,"{""batch_size"": 500, ""channels"": 64, ""conditional"": true, ""dataset_num_batches"": 512, ""dataset_path"": ""data/two_moons_dataset.pt"", ""device"": ""cuda"", ""early_stopping_patience"": 6, ""epochs"": 600, ""evaluation_frequency"": 20, ""expansion"": 4, ""head_dim"": 64, ""in_channels"": 2, ""layers_per_block"": 1, ""learning_rate"": 0.001, ""noise"": 0.05, ""num_blocks"": 2, ""nvp"": true, ""output_dir"": ""C:\\Users\\amanp\\OneDrive\\Desktop\\Uli_Projects_Attempts\\Uli_Two_Moon_2\\results\\parameter_sweep\\EXP_025\\run_002"", ""plot_batches"": 32, ""points_per_batch"": 500, ""seed"": 7, ""weight_decay"": 0.0001}",
block_count,num_blocks,6,EXP_026,parameter_sweep,transformer,0.001,500,600,7,YES,0.0001,6,20,500,512,0.05,32,cuda,data/two_moons_dataset.pt,,,2,64,6,1,64,4,YES,Transformer num_blocks sweep; 4-block configuration already tested as reference,YES,run_002,completed,2026-09-04T10:44:46+00:00,2026-09-04T11:49:50+00:00,3904.385168,600,580,0.0682363212108612,0.09866326302289963,0.07903632521629333,0.09866326302289963,0.09801279753446579,0.09801279753446579,495384,d973d28bf14a571c0b775d530c00d79e147c82cbedfd3266e50073ae370c104a,b6b613ded8489ff37904d08ad0e5a49ea9ef2fc8,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\results\parameter_sweep\EXP_026\run_002\config.json,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\results\parameter_sweep\EXP_026\run_002\raw\transformer\params__lr1e-3_ep600_bs500_wd1e-4_cond1_seed7_ch64_blocks6_lpb1\metrics.json,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\results\parameter_sweep\EXP_026\run_002\raw\transformer\params__lr1e-3_ep600_bs500_wd1e-4_cond1_seed7_ch64_blocks6_lpb1\best_model.pt,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\results\parameter_sweep\EXP_026\run_002\raw\transformer\params__lr1e-3_ep600_bs500_wd1e-4_cond1_seed7_ch64_blocks6_lpb1,"{""batch_size"": 500, ""channels"": 64, ""conditional"": true, ""dataset_num_batches"": 512, ""dataset_path"": ""data/two_moons_dataset.pt"", ""device"": ""cuda"", ""early_stopping_patience"": 6, ""epochs"": 600, ""evaluation_frequency"": 20, ""expansion"": 4, ""head_dim"": 64, ""in_channels"": 2, ""layers_per_block"": 1, ""learning_rate"": 0.001, ""noise"": 0.05, ""num_blocks"": 6, ""nvp"": true, ""output_dir"": ""C:\\Users\\amanp\\OneDrive\\Desktop\\Uli_Projects_Attempts\\Uli_Two_Moon_2\\results\\parameter_sweep\\EXP_026\\run_002"", ""plot_batches"": 32, ""points_per_batch"": 500, ""seed"": 7, ""weight_decay"": 0.0001}",
